Product_Name,Product_Category,Product_Brand,Customer_Review,Ratings,Label
Satchel ,Bags,Bagsy Malone,Nice stuff. Material of bag is also good. I am in love with it. Must buy for your bag collection.,4,Positive
Earings,Jewellery & Accessories,Jewels Galaxy,It is the most beautiful piece I have ordered so far. So elegant and light weight. Goes Perfectly with western and traditional.,5,Positive
Bangles,Jewellery & Accessories,Voylla,It is lovely pair of bangles. Nice design and finish.,4.3,Positive
Deo spray,Fragrance,Nike,The product has a floral scent. It is quite long lasting and makes me feel fresh whole day.,4.5,Positive
Body spray,Fragrance,Fogg,I gifted this perfume to my brother for rakhi and he loved it. Smells good. Will repurchase. Value for money.,5,Positive
Perfume,Fragrance,Masaba,An overpriced product with a very nominal fragrance. It dissatisfied me completely.,2,Negative
Body spray,Fragrance,Revlon,"It has such a sweet pleasant smell. After trying hundreds of products, finally I found the product that suits me best.",4.5,Positive
Necklace ,Jewellery & Accessories,Twenty dresses,The product looks good and I guess the colour doesn't fade away sooner. Its pretty good.,5,Positive
Ring,Jewellery & Accessories,Voylla,I love voylla. The ring is pretty and classy. The only thing I didn't like about the product is that under water contact it may loose shine and colour.,3,Negative
Body Lotion,Personal Care,MCaffeine,The first thing is the smell which is awesome. The lotion isn't too sticky or heavy on the skin. Its more like a gel based lotion. I love the consistency.,4,Positive
Sun block cream,Personal Care,Oshea herbals,This suns cream is best for summer. As it is matte proof cream and doesn't sweat on face. It suits my skin perfectly.,4.2,Positive
Moisturizer,Personal Care,Olay,Over rated product. This does nothing for me. I have normal skin but it makes my skin too oily. Not satisfied.,2,Negative
Acne face wash,Personal Care,WOW,I loved it. I used it for one week. I noticed amazing change with my acne problem. Just go for it.,5,Positive
Shampoo,Personal Care,L'Oreal Paris,I have oily scalp and dry hair end. This is the one which works for my hair so well. I tried and tested many shampoos but this one is the best and at affordable price. Also it smells refreshing.,5,Positive
Wedges,Footwear,Ceriz vivien,My first ever wedges. They are really classy. Had my eye on this product for so long but it was out off stock and now finally i bought it. The beige look adds more beauty to this wedge.,5,Positive
Studded Bracelet,Jewellery & Accessories,Jewels Galaxy,It is pretty but definitely not worth the price. Got it on a discount but still don't feel it was worth it. ,3,Negative
Hair oil,Hair,Mamaearth,I just loved the oil. It reduces my hairfall very much. You will see good results after using it. Must buy.,4.4,Positive
Deodorant,Fragrance,Engage,I have heard about engage products but the smell of this product doesn't last for long.,3,Negative
Power Bank,Tech accessories ,Pebble,Exellent Product. Packaging was good. Does not heat at all while charging. Charges quickly. No mess of wires as wires are provided with it. Worth money.,4,Positive
